"ID","Type","Name","Documentation","Source","Target","Specialization"
"14293","AccessRelationship","","","14162","14288",""
"14510","AccessRelationship","","","12916","10800",""
"14508","AccessRelationship","","","12913","10794",""
"14512","AccessRelationship","","","12917","10800",""
"14509","AccessRelationship","","","12914","10796",""
"10904","AccessRelationship","","","10845","10796",""
"18168","AccessRelationship","","","17691","14072",""
"10929","AccessRelationship","","","10812","10794",""
"10908","AccessRelationship","","","10838","10794",""
"14126","AccessRelationship","","","10785","14074",""
"10921","AccessRelationship","","","10839","10798",""
"6205","AccessRelationship","","","6177","6193",""
"14123","AccessRelationship","","","13873","14025",""
"6795","AccessRelationship","","","6654","6733",""
"10943","AccessRelationship","","","10822","10794",""
"10913","AccessRelationship","","","10840","10797",""
"10966","AccessRelationship","","","10830","10807",""
"14300","AccessRelationship","","","14148","14074",""
"10960","AccessRelationship","","","10825","10804",""
"6591","AccessRelationship","","","6176","6564",""
"10898","AccessRelationship","","","10839","10797",""
"14041","AccessRelationship","","","10784","14025",""
"14582","AccessRelationship","","","10827","14539",""
"10946","AccessRelationship","","","10810","10794",""
"10976","AccessRelationship","","","10846","10794",""
"10906","AccessRelationship","","","10842","10794",""
"14128","AccessRelationship","","","13875","14074",""
"14028","AccessRelationship","","","13875","14025",""
"14043","AccessRelationship","","","10785","14025",""
"14042","AccessRelationship","","","13874","14025",""
"14581","AccessRelationship","","","10828","14539",""
"6593","AccessRelationship","","","6186","6565",""
"10925","AccessRelationship","","","10818","10802",""
"10941","AccessRelationship","","","10821","10804",""
"13748","AccessRelationship","","","10835","10797",""
"6592","AccessRelationship","","","6177","6564",""
"10915","AccessRelationship","","","10841","10799",""
"18179","AccessRelationship","","","10842","18178",""
"10930","AccessRelationship","","","10812","10800",""
"14130","AccessRelationship","","","13873","14074",""
"14583","AccessRelationship","","","10821","14539",""
"10899","AccessRelationship","","","10843","10794",""
"10922","AccessRelationship","","","10840","10798",""
"6207","AccessRelationship","","","6176","6192",""
"14131","AccessRelationship","","","13874","14074",""
"10947","AccessRelationship","","","10815","10803",""
"14578","AccessRelationship","","","10829","14539",""
"18169","AccessRelationship","","","10842","14072",""
"14127","AccessRelationship","","","10784","14074",""
"10901","AccessRelationship","","","10844","10795",""
"6595","AccessRelationship","","","6184","6566",""
"6567","AccessRelationship","","","6188","6562",""
"10937","AccessRelationship","","","10821","10800",""
"10950","AccessRelationship","","","10849","10800",""
"10923","AccessRelationship","","","10841","10797",""
"14561","AccessRelationship","","","12926","10794",""
"10933","AccessRelationship","","","10814","10803",""
"14575","AccessRelationship","","","10835","10799",""
"10961","AccessRelationship","","","10828","10806",""
"6211","AccessRelationship","","","6176","6194",""
"10931","AccessRelationship","","","10811","10801",""
"14574","AccessRelationship","","","10835","10794",""
"10958","AccessRelationship","","","10829","10808",""
"6209","AccessRelationship","","","6184","6195",""
"6590","AccessRelationship","","","6177","6562",""
"6596","AccessRelationship","","","6186","6566",""
"10935","AccessRelationship","","","10816","10794",""
"6210","AccessRelationship","","","6186","6192",""
"10905","AccessRelationship","","","10845","10794",""
"10927","AccessRelationship","","","10818","10794",""
"10907","AccessRelationship","","","10844","10794",""
"14040","AccessRelationship","","","10789","14025",""
"14129","AccessRelationship","","","10789","14074",""
"10951","AccessRelationship","","","10849","10804",""
"10959","AccessRelationship","","","10825","10805",""
"10936","AccessRelationship","","","10814","10798",""
"6204","AccessRelationship","","","6188","6193",""
"6206","AccessRelationship","","","6177","6194",""
"10987","AccessRelationship","","","10816","10800",""
"14294","AccessRelationship","","","14148","14025",""
"13747","AccessRelationship","","","10835","10798",""
"6798","AccessRelationship","","","6651","6736",""
"10928","AccessRelationship","","","10812","10797",""
"6594","AccessRelationship","","","6176","6565",""
"10945","AccessRelationship","","","10811","10800",""
"10952","AccessRelationship","","","10850","10804",""
"6208","AccessRelationship","","","6186","6195",""
"10942","AccessRelationship","","","10822","10800",""
"6797","AccessRelationship","","","6649","6735",""
"10955","AccessRelationship","","","10828","10807",""
"10957","AccessRelationship","","","10827","10801",""
"10985","AccessRelationship","","","10815","10797",""
"6796","AccessRelationship","","","6650","6734",""
"19511","AggregationRelationship","","","19509","10685",""
"8005","AggregationRelationship","","","7991","7996",""
"8002","AggregationRelationship","","","7994","7999",""
"8004","AggregationRelationship","","","7992","7997",""
"19472","AggregationRelationship","","","19471","8618",""
"19510","AggregationRelationship","","","19509","14481",""
"19473","AggregationRelationship","","","19471","10685",""
"8003","AggregationRelationship","","","7993","7998",""
"8001","AggregationRelationship","","","7995","8000",""
"8008","AggregationRelationship","","","7940","7943",""
"8009","AggregationRelationship","","","7943","7948",""
"9659","AggregationRelationship","","","9444","9368",""
"8006","AggregationRelationship","","","7941","7944",""
"9640","AggregationRelationship","","","9369","6183",""
"9638","AggregationRelationship","","","9369","6182",""
"17605","AggregationRelationship","","","17602","17601",""
"9657","AggregationRelationship","","","9444","6188",""
"9661","AggregationRelationship","","","9368","6172",""
"9641","AggregationRelationship","","","9369","6184",""
"9639","AggregationRelationship","","","9369","6181",""
"8007","AggregationRelationship","","","7944","7949",""
"9665","AggregationRelationship","","","9368","6179",""
"9656","AggregationRelationship","","","9444","6189",""
"9658","AggregationRelationship","","","9444","6187",""
"9643","AggregationRelationship","","","9369","6186",""
"9660","AggregationRelationship","","","9368","6173",""
"9664","AggregationRelationship","","","9368","6178",""
"9663","AggregationRelationship","","","9368","6177",""
"14027","AggregationRelationship","","","14025","14026",""
"8010","AggregationRelationship","","","7942","7947",""
"9667","AggregationRelationship","","","9368","6180",""
"9662","AggregationRelationship","","","9368","6174",""
"9668","AggregationRelationship","","","9368","6175",""
"9666","AggregationRelationship","","","9368","6176",""
"9642","AggregationRelationship","","","9369","6185",""
"17604","AggregationRelationship","","","17602","17600",""
"7131","AggregationRelationship","","","7104","7129",""
"17860","AggregationRelationship","","","17819","17821",""
"8263","AggregationRelationship","","","10222","8257",""
"9866","AggregationRelationship","","","8454","8486",""
"7229","AggregationRelationship","","","7104","7226",""
"9775","AggregationRelationship","","","8405","8238",""
"8406","AggregationRelationship","","","8207","8404",""
"8382","AggregationRelationship","","","8207","7149",""
"8407","AggregationRelationship","","","8207","8238",""
"17861","AggregationRelationship","","","17819","17820",""
"9867","AggregationRelationship","","","8454","8378",""
"17823","AggregationRelationship","","","17805","17806",""
"8716","AggregationRelationship","","","8713","8714",""
"8626","AggregationRelationship","","","8507","8618",""
"16272","AggregationRelationship","","","14441","14484",""
"16271","AggregationRelationship","","","14440","8618",""
"8696","AggregationRelationship","","","8507","8689",""
"16333","AggregationRelationship","","","16323","14390",""
"16276","AggregationRelationship","","","14441","12927",""
"16332","AggregationRelationship","","","16323","14396",""
"8715","AggregationRelationship","","","8713","8532",""
"8665","AggregationRelationship","","","8507","8660",""
"8628","AggregationRelationship","","","8507","8624",""
"16273","AggregationRelationship","","","14440","12926",""
"16293","AggregationRelationship","","","14440","8660",""
"8663","AggregationRelationship","","","8507","8659",""
"16275","AggregationRelationship","","","14441","10859",""
"8664","AggregationRelationship","","","8506","8659",""
"16274","AggregationRelationship","","","14440","14543",""
"16590","AssignmentRelationship","","","10669","14538",""
"16636","AssignmentRelationship","","","16517","10784",""
"16592","AssignmentRelationship","","","10671","10791",""
"16614","AssignmentRelationship","","","10682","10784",""
"16589","AssignmentRelationship","","","10681","10789",""
"16606","AssignmentRelationship","","","10670","10784",""
"14517","AssignmentRelationship","","","14482","14534",""
"16591","AssignmentRelationship","","","10670","10791",""
"16616","AssignmentRelationship","","","10672","10785",""
"16615","AssignmentRelationship","","","10673","10784",""
"16628","AssignmentRelationship","","","10674","13874",""
"14518","AssignmentRelationship","","","14483","14535",""
"18144","AssignmentRelationship","","","18072","17892",""
"18272","AssignmentRelationship","","","18224","18190",""
"7418","AssignmentRelationship","","","7429","7409",""
"7742","AssignmentRelationship","","","7425","7746",""
"18273","AssignmentRelationship","","","18072","18191",""
"7744","AssignmentRelationship","","","7428","7748",""
"10919","AssignmentRelationship","","","10778","10861",""
"7745","AssignmentRelationship","","","7426","7749",""
"10971","AssignmentRelationship","","","10773","10831",""
"10973","AssignmentRelationship","","","10996","10812",""
"18147","AssignmentRelationship","","","18117","10842",""
"10974","AssignmentRelationship","","","10996","10835",""
"14562","AssignmentRelationship","","","10778","14543",""
"10956","AssignmentRelationship","","","10766","10823",""
"12932","AssignmentRelationship","","","10778","12927",""
"18145","AssignmentRelationship","","","18119","17915",""
"10970","AssignmentRelationship","","","10773","10847",""
"10972","AssignmentRelationship","","","10773","10832",""
"12935","AssignmentRelationship","","","10766","8660",""
"7743","AssignmentRelationship","","","7427","7747",""
"10981","AssignmentRelationship","","","10995","10851",""
"10968","AssignmentRelationship","","","10773","10833",""
"7419","AssignmentRelationship","","","7427","7408",""
"18146","AssignmentRelationship","","","18118","17691",""
"18271","AssignmentRelationship","","","18223","18189",""
"18143","AssignmentRelationship","","","18071","17890",""
"7800","AssignmentRelationship","","","7429","7801",""
"10991","AssignmentRelationship","","","10996","10819",""
"7417","AssignmentRelationship","","","7426","7407",""
"10969","AssignmentRelationship","","","10773","8659",""
"19467","AssignmentRelationship","","","10762","10833",""
"6864","AssignmentRelationship","","","6846","6856",""
"a12e2212","AssociationRelationship","","","6834","6836",""
"53b5e7c3","AssociationRelationship","","","6834","6846",""
"8076","AssociationRelationship","","","7995","7994",""
"8078","AssociationRelationship","","","7999","7998",""
"14520","AssociationRelationship","","","12913","14483",""
"14521","AssociationRelationship","","","14483","10683",""
"8081","AssociationRelationship","","","7992","7991",""
"8082","AssociationRelationship","","","7993","7992",""
"14310","AssociationRelationship","","","14288","14025",""
"14224","AssociationRelationship","","","14162","14177",""
"14515","AssociationRelationship","","","12913","14482",""
"14311","AssociationRelationship","","","14288","14074",""
"8080","AssociationRelationship","","","7997","7996",""
"8077","AssociationRelationship","","","8000","7999",""
"14164","AssociationRelationship","","","14162","10674",""
"8079","AssociationRelationship","","","7998","7997",""
"8083","AssociationRelationship","","","7994","7993",""
"14516","AssociationRelationship","","","12914","14482",""
"14091","AssociationRelationship","","","14083","14074",""
"17603","AssociationRelationship","","","17600","17601",""
"18580","AssociationRelationship","","","18476","18477",""
"14342","AssociationRelationship","","","10785","13816",""
"14090","AssociationRelationship","","","14084","14074",""
"8084","AssociationRelationship","","","7949","7948",""
"14586","AssociationRelationship","","","12927","14488",""
"8085","AssociationRelationship","","","7944","7943",""
"18582","AssociationRelationship","","","18479","18481",""
"14089","AssociationRelationship","","","14085","14074",""
"17449","AssociationRelationship","","","12927","14488",""
"10944","AssociationRelationship","","","11009","10804",""
"14343","AssociationRelationship","","","13874","13815",""
"18483","AssociationRelationship","","","6192","6565",""
"8087","AssociationRelationship","","","7947","7946",""
"8086","AssociationRelationship","","","7948","7947",""
"17641","AssociationRelationship","","","17598","17602",""
"18581","AssociationRelationship","","","18524","18478",""
"14088","AssociationRelationship","","","13806","14074",""
"18697","AssociationRelationship","","","18616","18646",""
"8410","AssociationRelationship","","","8216","8404",""
"8412","AssociationRelationship","","","8404","7225",""
"9749","AssociationRelationship","","","7104","8405",""
"7259","AssociationRelationship","","","7104","7257",""
"7107","AssociationRelationship","","","7101","7104",""
"17822","AssociationRelationship","","","7257","17805",""
"8264","AssociationRelationship","","","8257","8259",""
"8241","AssociationRelationship","","","8359","8239",""
"8455","AssociationRelationship","","","8365","8239",""
"17859","AssociationRelationship","","","17817","17819",""
"8366","AssociationRelationship","","","8359","7257",""
"17824","AssociationRelationship","","","7257","17817",""
"8379","AssociationRelationship","","","8239","8377",""
"8440","AssociationRelationship","","","8257","8365",""
"9807","AssociationRelationship","","","7149","9806",""
"10223","AssociationRelationship","","","7101","8359",""
"17862","AssociationRelationship","","","17788","17818",""
"8213","AssociationRelationship","","","8207","7103",""
"7174","AssociationRelationship","","","7149","7163",""
"7106","AssociationRelationship","","","7101","7103",""
"9748","AssociationRelationship","","","7103","8405",""
"7132","AssociationRelationship","","","7129","7130",""
"10184","AssociationRelationship","","","8359","10222",""
"10287","AssociationRelationship","","","8207","8437",""
"8235","AssociationRelationship","","","8207","8228",""
"17857","AssociationRelationship","","","17788","17817",""
"10164","AssociationRelationship","","","7149","8132",""
"8408","AssociationRelationship","","","7148","8238",""
"8439","AssociationRelationship","","","8405","8437",""
"17858","AssociationRelationship","","","17821","17817",""
